                                                                         LISTAS DE REPRODUCCION DE SPOTIFY
                             ARTISTA                             CANCION                      REPRODUCCIONES                            BAILABLE
                  Christina Aguilera                  Can't Hold Us Down                              255266                               0.859
                    Christina Milian                 When You Look At Me                              222546                               0.955
                    Christina Milian                          Dip It Low                              197186                               0.752
                    Christina Milian                            AM To PM                              231213                               0.872
                     Christina Perri                       Jar of Hearts                              246587                               0.349
                     Christina Perri                    A Thousand Years                              285120                               0.421
                     Christina Perri                               human                              250706                               0.439
                               Ciara                             Goodies                              223000                               0.826
                               Ciara                          Like a Boy                              237053                               0.701
                               Ciara                             Promise                              267413                               0.697
                               Ciara                                  Oh                              256346                                 0.8
                               Ciara                      Love Sex Magic                              220426                               0.893
                               Ciara                              Get Up                              261880                               0.964
                               Ciara                          1 - 2 Step                              202213                               0.939
                               Ciara                          Body Party                              234040                               0.577
                        Clean Bandit                            Rockabye                              251088                                0.72
                        Clean Bandit                               Tears                              225914                               0.605
                        Clean Bandit                            Symphony                              214866                               0.718
                        Clean Bandit                           Rather Be                              227833                               0.799
                        Clean Bandit                                Solo                              222653                               0.737
                      Cobra Starship                 You Make Me Feel...                              215693                               0.668
                      Cobra Starship                   Good Girls Go Bad                              196413                               0.594
                       Colby O'Donis                        What You Got                              243013                               0.775
                            Coldplay                   Princess of China                              239215                                0.42
                            Coldplay                         In My Place                              226680                               0.424
                            Coldplay                              Clocks                              307879                               0.577
                            Coldplay                            Paradise                              278719                               0.449
                            Coldplay                        Viva La Vida                              242373                               0.486
                            Coldplay                         Violet Hill                              222653                                0.33
                            Coldplay       Every Teardrop Is a Waterfall                              240796                               0.425
                            Coldplay                Hymn for the Weekend                              258266                               0.491
                            Coldplay             Adventure of a Lifetime                              263786                               0.638
                            Coldplay                              Clocks                              307879                               0.577
                            Coldplay                 A Sky Full of Stars                              267866                               0.545
                            Coldplay                            Paradise                              278719                               0.449
                            Coldplay                      Speed of Sound                              287906                               0.514
                      Counting Crows                     Big Yellow Taxi                              225426                               0.669
                         Craig David                              7 Days                              235133                               0.659
                         Craig David              Don't Love You No More                              243986                               0.636
                         Craig David                         Rise & Fall                              287226                               0.405
                         Craig David                          Fill Me In                              257200                               0.682
                         Craig David                          Fill Me In                              257200                               0.682
                          Crazy Frog                              Axel F                              168879                                0.86
                          Crazy Town                           Butterfly                              216733                               0.736
                               Creed                              Higher                              316733                               0.459
                               Creed                        My Sacrifice                              294600                                0.32
                               Creed                 With Arms Wide Open                              274800                                0.41
                               Creed                     One Last Breath                              242000                                0.38
                                 D12                             My Band                              298773                               0.851
                                 D12                        Purple Pills                              304506                                0.78
                                 D12                            How Come                              249533                               0.745
                                 D4L                         Laffy Taffy                              224253                               0.891
                                 D4L                         Laffy Taffy                              224253                               0.891
                        DB Boulevard                       Point Of View                              231166                               0.676
                                 DEV                         In The Dark                              226226                               0.736
                             DJ Atzi                            Hey Baby                              219240                               0.666
                           DJ Casper                       Cha Cha Slide                              222146                               0.853
                            DJ Fresh                           Gold Dust                              192446                               0.451
                            DJ Fresh                       Hot Right Now                              182333                               0.524
                            DJ Fresh                              Louder                              206776                                0.31
                           DJ Khaled                       Wild Thoughts                              204173                               0.671
                           DJ Khaled                     All I Do Is Win                              232506                               0.544
                           DJ Khaled                          No Brainer                              260000                               0.552
                           DJ Khaled                          I'm On One                              296146                               0.413
                       DJ Pied Piper              Do You Really Like It?                              217120                               0.847
                            DJ Sammy                              Heaven                              233600                               0.571
                            DJ Snake                You Know You Like It                              247266                               0.407
                            DJ Snake                You Know You Like It                              247266                               0.407
                            DJ Snake                           Taki Taki                              212500                               0.842
                            DJ Snake                           Taki Taki                              212500                               0.842
                            DJ Snake                              Middle                              220573                               0.611
                            DJ Snake                     Let Me Love You                              205946                               0.649
                            DJ Snake                  Turn Down for What                              213733                               0.818
                                 DMX                            Party Up                              268866                                0.51
                                 DMX                X Gon' Give It To Ya                              217586                               0.761
                                DNCE                   Cake By The Ocean                              219146                               0.774
                             Da Brat                       What'chu Like                              221160                               0.879
                              DaBaby                                Suge                              163320                               0.876
                        Daddy Yankee                                Dura                              200480                               0.783
                        Daddy Yankee                           Con Calma                              193226                               0.737
                        Daddy Yankee                            Gasolina                              192600                               0.857
                           Daft Punk                           Get Lucky                              248413                               0.794
                           Daft Punk                       One More Time                              320357                               0.613
                           Daft Punk              Lose Yourself to Dance                              353893                               0.832
                  Daniel Bedingfield                 Gotta Get Thru This                              162333                               0.836
                  Daniel Bedingfield               If You're Not The One                              257026                               0.688
                  Daniel Bedingfield               If You're Not The One                              257026                               0.688
                  Daniel Bedingfield                 Gotta Get Thru This                              161240                               0.838
                       Daniel Powter                             Bad Day                              233640                               0.599
                         Danity Kane                             Damaged                              244266                               0.774
                              Darude                           Sandstorm                              225493                               0.528
                            Daughtry                       It's Not Over                              215173                                0.45
                                Dave                            Location                              241293                               0.812
                     David Archuleta                               Crush                              213520                                0.57
                        David Banner                                Play                              230133                               0.837
                        David Guetta                   Who's That Chick?                              201040                               0.675
                        David Guetta                            Memories                              210853                               0.546
                        David Guetta                 Where Them Girls At                              194840                               0.666
                        David Guetta                        Bang My Head                              193333                               0.599
                        David Guetta                           Play Hard                              201000                               0.691
                        David Guetta                    Gettin' Over You                              188000                               0.615
                        David Guetta                When Love Takes Over                              191000                               0.675
                        David Guetta                            Hey Mama                              192560                               0.596
                        David Guetta                              Flames                              194680                               0.631
                        David Guetta                          Turn Me On                              199680                               0.704
                        David Guetta                            She Wolf                              222500                               0.492
                        David Guetta                         Without You                              208133                               0.608
                        David Guetta                  This One's for You                              207272                               0.367
                        David Guetta                   Lovers on the Sun                              203520                               0.645
                        David Guetta                            Titanium                              245040                               0.604
                        David Guetta                                 Bad                              170625                               0.614
                        David Guetta                          Sexy Bitch                              195853                               0.813
                        David Guetta                                  2U                              194896                               0.548
                                Daya             Sit Still - Look Pretty                              202221                               0.657
                          Dean Lewis                          Be Alright                              196373                               0.553
                      Debelah Morgan                       Dance with Me                              220106                                0.85
                             Default                     Wasting My Time                              268693                               0.443
                       Delta Goodrem                         Born to Try                              251280                               0.542
                       Delta Goodrem                    Lost Without You                              248546                               0.581
                  Dem Franchize Boyz           Lean Wit It - Rock Wit It                              229813                               0.886
                         Demi Lovato                 Cool for the Summer                              214746                               0.586
                         Demi Lovato                        Heart Attack                              210840                               0.504
                         Demi Lovato             Give Your Heart a Break                              205346                               0.651
                         Demi Lovato                           Confident                              205745                               0.594
                        Dennis Lloyd                           Nevermind                              156600                                 0.6
                              Deorro                     Five More Hours                              211975                               0.699
                           Desiigner                               Panda                              246761                               0.576
                           Desiigner                       Tiimmy Turner                              239853                               0.603
                     Destiny's Child                           Cater 2 U                              245400                               0.605
                     Destiny's Child           Independent Women - Pt. 1                              221133                                0.73
                     Destiny's Child                                Girl                              224146                               0.567
                     Destiny's Child                      Lose My Breath                              242013                               0.814
                     Destiny's Child                   Jumpin' - Jumpin'                              230200                               0.771
                     Destiny's Child                        Bootylicious                              207906                                0.84
                     Destiny's Child           Independent Women - Pt. 1                              221133                                0.73
                     Destiny's Child                             Soldier                              325573                               0.878
                     Destiny's Child                            Survivor                              254026                               0.514
                     Destiny's Child                         Say My Name                              271333                               0.713
                               Diddy                         Coming Home                              238693                               0.392
                               Diddy                       I Need a Girl                              285586                               0.713
                               Diddy                          Come to Me                              276786                               0.819
                               Diddy                       I Need a Girl                              268800                                0.66
                                Dido                           Thank You                              218360                               0.725
                                Dido                          White Flag                              240040                               0.512
                                Dido                          White Flag                              240040                               0.512
                         Dirty Vegas                          Days Go By                              432146                               0.786
                          Disclosure                               Latch                              255631                               0.503
                          Disclosure                         White Noise                              277687                               0.665
                          Disclosure                               Latch                              255631                               0.503
                Disturbing Tha Peace                          Move Bitch                              272293                               0.777
                       Dizzee Rascal                             Holiday                              220626                               0.545
                       Dizzee Rascal                             Bonkers                              177573                               0.624
                       Dizzee Rascal                        Dance Wiv Me                              204093                               0.878
                            Doja Cat                               Juicy                              202333                               0.786
                        Dominic Fike                            3 Nights                              177666                               0.815
                        Donell Jones                    Where I Wanna Be                              253626                               0.664
                        Donell Jones                    U Know What's Up                              243733                               0.854
                             Dr. Dre                    The Next Episode                              161506                               0.922
                             Dr. Dre                     I Need A Doctor                              283733                               0.594
                             Dr. Dre                    Forgot About Dre                              222293                               0.924
                               Drake             Started From the Bottom                              174120                               0.794
                               Drake                      Find Your Love                              208946                               0.625
                               Drake                             Forever                              357706                               0.457
                               Drake                       Hotline Bling                              267066                               0.903
                               Drake                            Too Good                              263373                               0.794
                               Drake                             Nonstop                              238614                               0.912
                               Drake                           I'm Upset                              214466                               0.899
                               Drake                     Best I Ever Had                              258760                               0.431
                               Drake                             Jumpman                              205879                               0.853
                               Drake                        Passionfruit                              298940                               0.809
                               Drake                       Nice For What                              210746                               0.585
                               Drake          Hold On - We're Going Home                              227880                               0.773
                               Drake                           The Motto                              181573                               0.766
                               Drake                           Pop Style                              212946                               0.713
                               Drake                           Headlines                              235986                               0.636
                               Drake                           One Dance                              173986                               0.792
                               Drake                             Jumpman                              205879                               0.852
                               Drake                           Take Care                              277386                               0.629
                               Drake                       Hotline Bling                              267066                               0.891
                               Drake                          God's Plan                              198973                               0.754
                               Drake                      In My Feelings                              217925                               0.835
                               Drake                  Money In The Grave                              205426                               0.831
                               Drake                                Over                              233560                               0.325
                            Dua Lipa                           New Rules                              212000                               0.763
                            Dua Lipa                               IDGAF                              217946                               0.836
                            Dua Lipa                    Hotter Than Hell                              187957                               0.532
                            Dua Lipa                     Don't Start Now                              183290                               0.794
                          Duck Sauce                    Barbra Streisand                              196533                               0.769
                               Duffy                               Mercy                              219920                               0.793
                         Duke Dumont                             I Got U                              285596                               0.636
                         Duke Dumont                              Need U                              174853                               0.681
                              Dynoro                          In My Mind                              184560                               0.694
                                   E                           U and Dat                              202720                               0.858
                                  EO                              German                              170825                               0.862
                               Eamon                             Fuck It                              225106                               0.828
                           Echosmith                           Cool Kids                              237626                               0.719
                          Ed Sheeran              Take Me Back to London                              189733                               0.885
                          Ed Sheeran                   Thinking out Loud                              281560                               0.781
                          Ed Sheeran                                Sing                              235382                               0.818
                          Ed Sheeran                             Perfect                              263400                               0.599
                          Ed Sheeran                          I See Fire                              300840                               0.581
                          Ed Sheeran                          Antisocial                              161746                               0.716
                          Ed Sheeran                               Don't                              219840                               0.806
                          Ed Sheeran                            Cross Me                              206186                               0.746
                          Ed Sheeran                        Shape of You                              233712                               0.825
                         Edward Maya                         Stereo Love                              184573                               0.799
                         Edward Maya                         Stereo Love                              184573                               0.799
                           Eiffel 65                      Move Your Body                              268863                               0.745
                        Electric Six                Danger! High Voltage                              214600                                0.66
                      Ella Henderson                               Ghost                              213213                                0.68
                            Ella Mai                                Trip                              213993                               0.477
                      Ellie Goulding                              Lights                              210853                               0.682
                      Ellie Goulding                                Burn                              231211                               0.559
                      Ellie Goulding                                Burn                              231211                               0.559
                      Ellie Goulding                          On My Mind                              213445                               0.699
                      Ellie Goulding                 Love Me Like You Do                              252534                               0.262
                      Ellie Goulding                         Starry Eyed                              176613                               0.504
                       Elliott Yamin                        Wait for You                              261320                               0.764
                       Elvis Presley          A Little Less Conversation                              211506                               0.597
                         Emeli Sande         Read All About It - Pt. III                              283706                                0.63
                              Eminem                         We Made You                              269613                               0.924
                              Eminem                    'Till I Collapse                              297786                               0.548
                              Eminem                         Mockingbird                              250760                               0.637
                              Eminem                Love The Way You Lie                              263373                               0.749
                              Eminem                       Ass Like That                              265480                               0.646
                              Eminem                       When I'm Gone                              281320                               0.618
                              Eminem                               River                              221013                               0.748
                              Eminem                      Crack A Bottle                              297520                               0.516
                              Eminem                          Without Me                              290320                               0.908
                              Eminem                   Like Toy Soldiers                              296880                                0.52
                              Eminem              Cleanin' Out My Closet                              297840                               0.908
                              Eminem                          Not Afraid                              248133                               0.855
                              Eminem                 Sing For The Moment                              339546                               0.668
                              Eminem                          Shake That                              274440                               0.963
                              Eminem                         The Monster                              250188                               0.781
                              Eminem                 The Real Slim Shady                              284200                               0.949
                              Eminem                             Berzerk                              238746                               0.739
                              Eminem                   Like Toy Soldiers                              296880                                0.52
                              Eminem                        Just Lose It                              248680                                0.94
                              Eminem                                Stan                              404106                                0.78
                              Eminem                       Lose Yourself                              322226                               0.686
                         Emma Bunton              What Took You So Long?                              241000                               0.668
                   Empire of the Sun                  Walking On A Dream                              198440                               0.871
                    Enrique Iglesias                             Tonight                              232213                               0.648
                    Enrique Iglesias                           I Like It                              231373                               0.648
                    Enrique Iglesias                         Be With You                              219360                               0.683
                    Enrique Iglesias                              Escape                              208626                               0.776
                    Enrique Iglesias                     SUBEME LA RADIO                              207680                               0.688
                    Enrique Iglesias                        Do You Know?                              219533                               0.753
                    Enrique Iglesias                    DUELE EL CORAZON                              199693                               0.716
                    Enrique Iglesias                         Not In Love                              223133                               0.762
                    Enrique Iglesias                            Bailando                              243386                               0.718
                                Enya                           Only Time                              218546                               0.418
                          Eric Prydz                              Pjanoo                              157432                               0.605
                          Eric Prydz                    Proper Education                              198567                               0.537
                          Eric Prydz                          Call on Me                              171360                               0.597
                        Erick Sermon                               Music                              223133                               0.897
                         Erykah Badu                            Bag Lady                              348893                               0.724
                             Estelle                        American Boy                              284733                               0.727
                         Evanescence                    Bring Me To Life                              235893                               0.331
                         Evanescence                         My Immortal                              262533                                0.19
                         Evanescence           Call Me When You're Sober                              214706                                0.45
                                 Eve                      Gangsta Lovin'                              239266                               0.723
                                 Eve                 Let Me Blow Ya Mind                              230133                               0.908
                             Example                          Kickstarts                              181826                                0.61
                             Example         Changed the Way You Kiss Me                              195466                               0.578
                             FINNEAS    Let's Fall in Love for the Night                              190348                               0.737
                            Fabolous                 Throw It In The Bag                              231573                               0.789
                            Fabolous                      Make Me Better                              253573                               0.607
                            Fabolous                    Can't Let You Go                              223973                               0.646
                            Fabolous                            Into You                              295773                               0.546
                         Faith Evans                          I Love You                              267160                               0.489
                          Faith Hill                     There You'll Be                              222120                               0.321
                          Faith Hill                             Breathe                              250546                               0.529
                           Faithless                           We Come 1                              222435                               0.645
                        Fall Out BoyMy Songs Know What You Did In The Dark                              186826                               0.558
                        Fall Out BoyThis Ain't A Scene - It's An Arms Race                              212040                               0.435
                        Fall Out Boy                           Centuries                              228360                               0.393
                        Fall Out Boy                       Dance - Dance                              180266                               0.622
                        Fall Out Boy                    Thnks fr th Mmrs                              203506                               0.459
                   Far East Movement                           Like A G6                              216893                               0.435
                   Far East Movement                           Rocketeer                              211253                               0.664
                             Fat Joe                        Make It Rain                              247413                               0.744
                             Fat Joe                         What's Luv?                              267093                               0.835
                             Fat Joe                      Get It Poppin'                              211320                               0.905
                        Fatman Scoop                         Be Faithful                              164506                               0.649
                      Fedde Le Grand       Put Your Hands Up For Detroit                              150533                               0.827
                      Fedde Le Grand       Put Your Hands Up for Detroit                              150533                               0.814
                         Felix Jaehn                        Ain't Nobody                              186146                               0.778
                              Fergie                              Clumsy                              240426                               0.731
                              Fergie                 Big Girls Don't Cry                              268120                               0.708
                              Fergie                        Fergalicious                              292373                               0.906
                              Fergie                       London Bridge                              241306                               0.769
                              Fergie                           Glamorous                              246600                               0.811
                           Fetty Wap                              My Way                              213053                               0.748
                           Fetty Wap                                 679                              196693                               0.618
                           Fetty Wap                          Trap Queen                              222093                               0.746
                       Fifth Harmony                      All In My Head                              210573                               0.689
                       Fifth Harmony                            Worth It                              224573                               0.884
                       Fifth Harmony                      Work from Home                              214480                               0.803
                       Finger Eleven                           Paralyzer                              208106                               0.644
                       Finger Eleven                           Paralyzer                              208106                               0.644
               Fitz and The Tantrums                            HandClap                              193253                               0.636
                                Five                         Let's Dance                              218626                               0.631
                        Flipp Dinero                      Leave Me Alone                              195637                               0.792
                            Flo Rida                                 Low                              231400                               0.918
                            Flo Rida                           Wild Ones                              232946                               0.608
                            Flo Rida                            My House                              192190                               0.688
                            Flo Rida                               I Cry                              223800                               0.693
                            Flo Rida                                GDFR                              190185                               0.657
                            Flo Rida                         Right Round                              204640                                0.72
